year,sample_type
2012,NA
2020,NA
2020,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2019,NA
2022,NA
2018,NA
2021,NA
2021,NA
2021,NA
2021,NA
2013,animal
2021,animal
2021,animal
2021,animal
2015,animal
2017,animal
2017,animal
2017,animal
2013,animal
2014,animal
2013,animal
2013,animal
2016,animal
2016,animal
2016,animal
2016,animal
2016,animal
2016,animal
2016,animal
2016,animal
2016,animal
2016,animal
2016,animal
2016,animal
2016,animal
2016,animal
2016,animal
2019,animal
2019,animal
2011,animal
2011,animal
2020,animal
2020,animal
2020,animal
2017,animal
2020,animal
2020,animal
2019,animal
2016,animal
2021,animal
2019,animal
2018,animal
2018,animal
2016,animal
2016,animal
2016,animal
2016,animal
2018,animal
2019,animal
2017,animal
2022,animal
2018,animal
2018,animal
2018,animal
2018,animal
2018,animal
2018,animal
2018,animal
2018,animal
2021,animal
2018,animal
2021,animal
2021,animal
2021,animal
2020,animal
2020,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2020,animal
2020,animal
2018,animal
2018,animal
2020,animal
2018,animal
2019,animal
2019,animal
2019,animal
2020,animal
2020,animal
2020,animal
2022,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2022,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2021,animal
2017,animal
2017,animal
2017,animal
2023,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2019,animal
2021,animal
2021,animal
2021,animal
2021,animal
2020,animal
2019,animal
2020,animal
2019,animal
2020,animal
2020,animal
2020,animal
2020,animal
2020,animal
2019,animal
2019,animal
2016,clinical/human
2016,clinical/human
2016,clinical/human
2019,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2015,clinical/human
2015,clinical/human
2015,clinical/human
2015,clinical/human
2017,clinical/human
2017,clinical/human
2015,clinical/human
2017,clinical/human
2017,clinical/human
2020,clinical/human
2020,clinical/human
2017,clinical/human
2017,clinical/human
2020,clinical/human
2018,clinical/human
2018,clinical/human
2018,clinical/human
2018,clinical/human
2020,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2018,clinical/human
2018,clinical/human
2018,clinical/human
2020,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2019,clinical/human
2020,clinical/human
2020,clinical/human
2020,clinical/human
2018,clinical/human
2017,clinical/human
2016,clinical/human
2017,clinical/human
2015,clinical/human
2017,clinical/human
2014,environment
2016,environment
2016,environment
2016,environment
2016,environment
2016,environment
2016,environment
2016,environment
2019,environment
2017,environment
2017,environment
2017,environment
2018,environment
2017,environment
2017,environment
2017,environment
2017,environment
2020,environment
2020,environment
2020,environment
2019,environment
2018,environment
2018,environment
2021,environment
2015,environment
2015,environment
2015,environment
2017,clinical/human
2014,clinical/human
2014,clinical/human
2012,clinical/human
2012,clinical/human
2012,clinical/human
2012,clinical/human
2012,clinical/human
2014,clinical/human
2017,clinical/human
2021,clinical/human
2018,clinical/human
2018,clinical/human
2018,clinical/human
2018,clinical/human
2018,clinical/human
2018,clinical/human
2017,clinical/human
2019,clinical/human
2015,clinical/human
2015,clinical/human
2017,clinical/human
2017,clinical/human
2017,clinical/human
2015,clinical/human
2016,clinical/human
2015,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2016,clinical/human
2017,clinical/human
2017,clinical/human
2017,clinical/human
2019,NA
2020,NA
2019,NA
2020,NA
2020,NA
2018,NA
2019,NA
2019,NA
2021,NA
2022,NA
2022,NA
2022,NA
2022,NA
2022,NA
2022,NA
2022,NA
2022,NA
2022,NA
2022,NA
2022,NA
2022,NA
2016,NA
2016,NA
2016,NA
2016,NA
2016,NA
2016,NA
2019,NA
2019,NA
2019,NA
2021,NA
2022,NA
2022,NA
2022,NA
2022,NA
2022,NA
2022,NA
2012,NA
